,Job Title,Location,Company,Salary,No. of Reviews,Company Ratings,Job Summary
2552,Research Associate I,"Aliso Viejo, CA 92656",Ambry Genetics,None,12 reviews,51.0,"He/she will work with a multi-disciplinary team including scientists, variant assessment specialists, structural biologists, and bioinformaticians...."
2553,None,"Irvine, CA",Kari Technologies International - KTI,None,None,None,Minimum 5 years experience in an engineering role applying machine-learning with big data. Join KTI and draw upon your expertise in artificial intelligence and...
2554,Data Scientist,"Irvine, CA",Einstein Assembly,None,None,None,"Collaborate effectively with engineers, data scientists, product managers and other internal customers. Use data mining and machine learning to design and..."
2555,Senior Principal Scientist,"Irvine, CA 92612",Allergan,None,459 reviews,43.8,Evaluates and interprets data and draws conclusions. Proficiency in use of statistical programs for analytical data evaluation is desired....
2556,Data Analysis Engineer,"Irvine, CA 92606",Kia Motors America,None,20 reviews,51.6,Provide data analysis support for NHTSA inquiries and investigations. Provide data analysis to support Kia vehicle recall decision making process....
2557,Data Scientist/Statistician,"Irvine, CA",BSI Financial Services,None,None,None,"Experience in data modeling, data mining, data cleansing, and statistical techniques. Working knowledge of data warehouse environments...."
2558,Bioinformatics Scientist/Programmer,"Aliso Viejo, CA 92656",Ambry Genetics,None,12 reviews,51.0,Strong skills in the application of statistical analytical methods in genetic data analysis. The main responsibilities include curating and analyzing Next-gen...
2559,"Sr. Scientist, Analytical Sciences","Irvine, CA 92612",Allergan,None,459 reviews,43.8,"Scientist, Analytical Sciences will independently manage multiple projects and ensure timely delivery of all deliverables...."
2560,Business Analyst,"Huntington Beach, CA",Confie,None,None,None,"Find and interpret rich data sources, manage large amounts of data despite hardware, software and bandwidth constraints, merge data sources together, ensure..."
2561,SENIOR DATA SCIENTIST,"Irvine, CA",Advanced Sterilization Products,None,13 reviews,51.6,Experience with data management and data documentation practices is required. Extracts data from a variety of data sources incorporating complex logic as needed...
2562,Senior Statistician,"Irvine, CA",Cox Automotive,None,42 reviews,40.8,"Ability to manipulate, analyze, and interpret terabytes of data. Ability to define problems, collect data, establish facts, and draw valid conclusions...."
2563,"Statistician, Predictive Analytics","Irvine, CA",Cox Automotive,None,42 reviews,40.8,"Ability to manipulate, analyze, and interpret terabytes of data. Ability to define problems, collect data, establish facts, and draw valid conclusions...."
2564,Data Infrastructure & Analysis Software Engineer,"Irvine, CA",Google,None,"1,219 reviews",52.8,The Data Infrastructure &amp; Analysis (DIA) team builds end-to-end data processing systems that serve the data management and analysis needs of all applications in...
2565,Lead Data Scientist,"Irvine, CA",BurnsSearch Inc.,<nobr>$60 an hour</nobr>,None,None,Data Science Lead - #2380. The Data Scientist will work at both the strategic level (generating bold and innovative ideas for data science driven growth) and at...
2566,Big Data Manager,"Costa Mesa, CA",Deloitte,None,"3,481 reviews",51.0,"Experienceworking as a Data Scientist. Knowledgeof data, master data and metadata related standards, processes and technology...."
2567,Senior Formulation Scientist,"Irvine, CA",NantWorks,None,None,None,The Senior Scientist position is responsible for developing new drug products by utilizing robust techniques to enable pre-clinical to commercial filings....
2568,Principal Scientist,"Irvine, CA 92612",Allergan,None,459 reviews,43.8,Principal Scientist will independently manage multiple projects and ensure timely delivery of all deliverables....
2569,Reverse Engineer,"Irvine, CA 92618","Cylance, Inc.",None,None,None,Experience with data and protocol handling/parsing. Write code to de-compile data in an ever-growing variety of formats. WHO WE ARE....
2570,Research Analyst,"Irvine, CA 92614",Cushman & Wakefield,None,74 reviews,51.0,Research Analyst and Marketing to organize data for presentationsSupport Senior Research Analysts in creation of market analysis and work with Marketing...
2571,Quantitative Analyst - model validation - Consultant,"Orange, CA","Intermedia Group, Inc.","<nobr>$102,700 a year</nobr>",None,None,"Model risk management activities include model validation such as assessing the conceptual soundness, evaluating model assumptions and data integrity, testing..."
2572,Non-Clinical Study Monitor,"Irvine, CA 92612",Allergan,None,459 reviews,43.8,"The individual, in partnership with the Project Scientists, is responsible to guide, review, and comment on the study design, compound requirements, synopsis,..."
2573,Sr. Data Engineer,"Irvine, CA",Pinpoint Resource Group,None,6 reviews,40.2,Partner with data scientists and analysts to explore structured and unstructured data to leverage business insights....
2574,Senior Scientist,"Irvine, CA 92612",Allergan,None,459 reviews,43.8,"The Senior Scientist provides scientific leadership to Professionals, Sr. The Senior Scientist routinely uses a sophisticated level of expertise in one or more..."
2575,Manager - Data Scientist,"Irvine, CA 92618",KPMG,None,"1,770 reviews",51.0,"Eight years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information..."
2576,Operation Research Analyst (NWP),"Costa Mesa, CA",RealPage,None,55 reviews,40.8,"This position is responsible for research of variances, ensures products are configured accurately, Expense Versus Recovery research and analytics, base fee"
2577,Staff Bioinformatics Scientist- San Juan Capistrano,"San Juan Capistrano, CA 92675",Quest Diagnostics,None,"2,051 reviews",43.8,Hands-on experience analyzing NGS data desired. Regularly report progress and prepare data analyses for internal review....
2578,"Principal Research Associate, GHEOR","Irvine, CA 92612",Allergan,None,459 reviews,43.8,Experience in retrospective analysis of existing data is preferred. Experience working directly with consumers of health outcomes data preferred....
2579,"Principal Scientist, Analytical Sciences","Irvine, CA 92612",Allergan,None,459 reviews,43.8,"The Principal Scientist, Analytical Sciences will independently manage multiple projects and ensure timely delivery of all deliverables...."
2580,"Associate Principal, GHEOR","Irvine, CA 92612",Allergan,None,459 reviews,43.8,Experience in retrospective analysis of existing data is preferred. Experience working directly with consumers of health outcomes data preferred....
2581,Senior Market Research Analyst,"Costa Mesa, CA",EXPERIAN,None,262 reviews,42.6,"161738 Description Experian is the power behind the data. As the leading holder of consumer and business credit data, we’re transforming data into solutions..."
2582,Senior User Research Analyst,"Irvine, CA",Blizzard Entertainment,None,86 reviews,44.4,"Utilize and suggest telemetry to conduct detailed data analysis and recommendations. Extensive knowledge of data analytics tools such as Tableau Software,..."
2583,"Manager, Clinical Development","Irvine, CA 92612",Allergan,None,459 reviews,43.8,"Liaison with Data Management, Biostatistics, Regulatory, Medical Safety Physician). In collaboration with the Clinical Team Lead and Clinical Scientist supports..."
2584,Database Engineer II - Mobile Analytics,"Irvine, CA","A2Z Development Center, Inc.",None,None,None,"We’re looking for a Data Scientist to be part of the AWS Mobile Services team, who can help us build products for developers to better make use of their big..."
2585,CLS I (Swing Shift),"Irvine, CA",Agendia,None,None,None,California Clinical Laboratory Scientist (CLS) or Clinical Genetic Molecular Biologist Scientist (CGMBS) License or any other specialist license that can...
2586,"Assoc, Lab I (FT, Sun-Thurs) San Juan Capistrano, CA","San Juan Capistrano, CA 92675",Quest Diagnostics,None,"2,051 reviews",43.8,Performs data entry or transfers data to computer for data reduction and prepares for clinical laboratory scientist's review....
2587,"Assoc, Lab I - Evening, San Juan Capistrano, CA","San Juan Capistrano, CA 92675",Quest Diagnostics,None,"2,051 reviews",43.8,____________________________________________________________________________________ Job Requirements Clinical Laboratory Scientist I must have:....
